"Y" "X1" "X2" "X3" "X4" "X5" "X6" "X7"
"good" "bad.running" 7 "pre.good" "personal" 2415 "man" "not.alone"
"bad" "good.running" 18 "pre.bad" "professional" 4165 "man" "not.alone"
"good" "bad.running" 48 "pre.good" "professional" 5381 "man" "not.alone"
"good" "good.running" 20 "pre.good" "professional" 3485 "man" "alone"
"bad" "no" 18 "pre.good" "personal" 4153 "man" "not.alone"
"good" "good.running" 48 "pre.good" "personal" 7238 "man" "not.alone"
"good" "no" 21 "pre.good" "professional" 1602 "woman" "not.alone"
"good" "good.running" 6 "pre.good" "personal" 1346 "man" "not.alone"
"bad" "bad.running" 36 "pre.good" "personal" 9034 "man" "not.alone"
"good" "no" 12 "pre.good" "professional" 1893 "woman" "alone"
"good" "no" 9 "pre.good" "personal" 1364 "man" "not.alone"
"bad" "no" 24 "pre.good" "professional" 4870 "man" "not.alone"
"good" "no" 8 "pre.good" "professional" 713 "man" "not.alone"
"bad" "bad.running" 36 "pre.good" "personal" 2671 "woman" "alone"
"good" "good.running" 60 "pre.good" "professional" 3756 "man" "not.alone"
"good" "good.running" 15 "pre.good" "personal" 3368 "man" "not.alone"
"good" "bad.running" 9 "pre.good" "personal" 1154 "man" "not.alone"
"good" "good.running" 21 "pre.good" "personal" 2241 "man" "not.alone"
"good" "good.running" 30 "pre.good" "professional" 4272 "man" "not.alone"
"good" "no" 36 "pre.good" "professional" 5857 "man" "alone"
"good" "good.running" 12 "pre.good" "personal" 930 "man" "not.alone"
"bad" "no" 24 "pre.good" "professional" 1381 "woman" "alone"
"bad" "no" 18 "pre.good" "professional" 1216 "woman" "alone"
"good" "bad.running" 6 "pre.good" "personal" 454 "woman" "not.alone"
"good" "good.running" 9 "pre.good" "personal" 3074 "man" "not.alone"
"bad" "bad.running" 18 "pre.good" "personal" 2100 "man" "not.alone"
"good" "good.running" 7 "pre.good" "personal" 846 "man" "not.alone"
"bad" "no" 24 "pre.good" "professional" 1333 "man" "not.alone"
"good" "good.running" 10 "pre.good" "professional" 1364 "woman" "alone"
"bad" "no" 36 "pre.good" "personal" 1977 "man" "not.alone"
"good" "no" 12 "pre.good" "professional" 1168 "woman" "not.alone"
"bad" "bad.running" 48 "pre.good" "personal" 3060 "man" "not.alone"
"good" "no" 12 "pre.good" "personal" 2577 "man" "alone"
"bad" "no" 24 "pre.good" "professional" 3123 "woman" "alone"
"good" "good.running" 60 "pre.good" "professional" 6527 "man" "not.alone"
"good" "good.running" 24 "pre.good" "personal" 5511 "man" "not.alone"
"good" "bad.running" 12 "pre.good" "personal" 983 "woman" "alone"
"good" "good.running" 12 "pre.good" "personal" 1655 "man" "not.alone"
"bad" "bad.running" 18 "pre.bad" "professional" 2278 "woman" "alone"
"good" "good.running" 12 "pre.bad" "personal" 2759 "man" "not.alone"
"good" "no" 39 "pre.good" "personal" 4179 "man" "not.alone"
